Pregunta,Respuesta
¿Cuál es el esquema general de los servicios prestados?,"Prestamos servicios fiscales, contables y asesoría integral para el desarrollo y crecimiento de nuestros clientes."
¿Qué servicios contables ofrecen?,"Prestamos servicios contables profesionales a empresas y personas físicas de pequeña y mediana dimensión."
¿A quiénes van dirigidos los servicios contables?,"A empresas y personas físicas que requieren apoyo en el área fiscal y contable."
¿Incluyen asesoramiento fiscal en los servicios contables?,"Sí, ofrecemos asesoramiento fiscal especializado, incluso a No Residentes."
¿Cómo apoyan a los clientes en el área contable?,"Brindamos consultoría oportuna para el crecimiento y cumplimiento de sus obligaciones contables y fiscales."
¿Qué distingue sus servicios contables?,"La atención personalizada y el enfoque en las necesidades concretas de cada cliente."
¿En qué consisten los servicios contables-fiscales?,"En cuantificar, medir y analizar operaciones financieras utilizando mejores prácticas para proponer opciones de crecimiento."
¿Qué garantiza el área contable-fiscal?,"Garantiza seguridad y tranquilidad en el cumplimiento de obligaciones fiscales."
¿Ofrecen información sobre cambios en la legislación tributaria?,"Sí, informamos sobre nueva legislación tributaria y sus efectos directos en cada cliente."
¿Ayudan a identificar ventajas económicas dentro del marco legal?,"Sí, indicamos las ventajas económicas a las que los clientes pueden acogerse legalmente."
¿Resuelven consultas en materia fiscal y contable?,"Sí, ofrecemos resolución de consultas en temas fiscales y contables."
¿Qué es la contabilidad electrónica?,"Es el registro y generación de asientos contables mediante medios electrónicos y el envío mensual de información a los sistemas del SAT."
¿En qué consiste la contabilidad general?,"En el registro y análisis periódico de la contabilidad para asegurar el cumplimiento fiscal y mercantil."
¿Qué servicios ofrecen respecto al activo fijo?,"Gestionamos y registramos el activo fijo de la empresa conforme a la normativa vigente."
¿Manejan cuentas por cobrar?,"Sí, realizamos el control y registro de cuentas por cobrar para una adecuada gestión financiera."
¿Elaboran estados de posición financiera?,"Sí, elaboramos estados financieros que reflejan la situación económica de la empresa."
¿Realizan emisión de facturas electrónicas?,"Sí, emitimos facturas electrónicas versión 3.3 con los complementos requeridos por el SAT."
¿Analizan ingresos y gastos relacionados con facturación?,"Sí, analizamos ingresos y gastos por emisión y recepción de facturas comparados con los reales."
¿Validan las facturas recibidas?,"Sí, realizamos la validación de facturas recibidas para asegurar su autenticidad y cumplimiento fiscal."
¿Ofrecen revisión y restablecimiento de Sellos Fiscales?,"Sí, revisamos y restablecemos los Sellos Fiscales (CSD) para garantizar la correcta emisión de comprobantes."
¿Emiten recibos de nómina electrónicos?,"Sí, emitimos recibos de nómina versión 1.2 conforme a la normativa vigente."
¿Generan comprobantes con complemento de comercio exterior?,"Sí, elaboramos comprobantes con complemento de comercio exterior y pedimento para exportaciones definitivas."
¿En qué consiste la subscripción por compra de folios?,"Es un servicio que permite adquirir paquetes de folios para facturación electrónica con vigencia de 1 año."
¿Cuáles son los paquetes de folios disponibles?,"Ofrecemos paquetes de 25, 100, 300 y 500 folios."
¿Cuál es el precio de 25 folios?,"299.00$ por 25 folios con caducidad de 1 año."
¿Cuál es el precio de 100 folios?,"579.00$ por 100 folios con caducidad de 1 año."
¿Cuál es el precio de 300 folios?,"1399.00$ por 300 folios con caducidad de 1 año."
¿Cuál es el precio de 500 folios?,"1799.00$ por 500 folios con caducidad de 1 año."
¿Los folios tienen caducidad?,"Sí, todos los paquetes de folios caducan 1 año después de la compra."
¿Qué es el régimen fiscal?,"El régimen fiscal es la categoría bajo la cual una persona o empresa se inscribe en el RFC ante el SAT, según la actividad que realiza."
¿Es necesario elegir un régimen fiscal para facturar?,"Sí, antes de facturar debes estar inscrito en el RFC y elegir el régimen fiscal que corresponda a tu actividad."
¿Ofrecen guía para elegir régimen fiscal?,"Sí, proporcionamos una guía para ayudarte a identificar el régimen fiscal adecuado según tu actividad."
¿Puedo pedir ayuda para elegir mi régimen fiscal?,"Sí, si tienes dudas puedes enviarnos un mensaje y te ayudamos a elegir el régimen fiscal correcto."
¿Ofrecen control de inventarios?,"Sí, gestionamos el control de inventarios para optimizar la administración de productos."
¿Incluyen integración con ERP?,"Sí, integramos el control de inventarios con sistemas ERP para mayor eficiencia."
¿Realizan creación de stocks?,"Sí, creamos y gestionamos stocks según las necesidades del negocio."
¿Puedo ver los movimientos de almacén en tiempo real?,"Sí, ofrecemos vista de movimientos de almacén en tiempo real mediante la nube."
¿Realizan levantamiento de inventarios?,"Sí, efectuamos levantamiento de inventarios para mantener registros precisos."
¿Entregan reportes de inventarios?,"Sí, entregamos reportes detallados sobre el estado y movimientos de inventarios."
¿Qué es el sistema de administración?,"Es un sistema 100% online que permite el control y administración de los procesos del negocio desde cualquier lugar, con seguridad y protección de la información."
¿Cómo me beneficia tener un sistema de administración?,"Te permite administrar ingresos mediante el registro de ventas, controlar cuentas por cobrar con el catálogo de clientes, emitir facturas rápidamente, gestionar la entrada y salida de mercancía, realizar movimientos entre almacenes y registrar compras, gastos y proveedores."
¿Cuál es el precio del paquete Ventas?,"199.00$ al mes o 1,799.00$ anual. Incluye emisión de CFDIs a 1.49$ IVA incluido por cada CFDI emitido."
¿Qué incluye el paquete Ventas?,"Incluye ventas y emisión de CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Cuál es el precio del paquete PYME 1?,"499.00$ al mes o 4,149.00$ anual. Incluye ventas, compras, inventarios y CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Qué incluye el paquete PYME 1?,"Incluye ventas, compras, inventarios y emisión de CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Cuál es el precio del paquete PYME 2?,"549.00$ al mes o 5,349.00$ anual. Incluye ventas, compras, inventarios, recursos humanos y CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Qué incluye el paquete PYME 2?,"Incluye ventas, compras, inventarios, recursos humanos y emisión de CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Cuál es el precio del paquete Todo Incluido?,"799.00$ al mes o 8,149.00$ anual. Incluye ventas, compras, inventarios, recursos humanos, contabilidad y CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Qué incluye el paquete Todo Incluido?,"Incluye ventas, compras, inventarios, recursos humanos, contabilidad y emisión de CFDIs a 1.49$ IVA incluido por CFDI emitido."
¿Qué trámites realizan?,"Realizamos inscripción al RFC para personas físicas y morales, cambios de domicilio, actualización de obligaciones fiscales, suspensión y reanudación de actividades, apertura de establecimientos, aviso de funcionamiento ante COFEPRIS, certificado de sanitización, consulta de nombre para uso ante IMPI, trámites de agencia aduanal y outsourcing de comercio exterior."
¿Ofrecen inscripción al RFC?,"Sí, gestionamos la inscripción al RFC para personas físicas y morales."
¿Realizan cambios de domicilio fiscal?,"Sí, realizamos el trámite de cambio de domicilio fiscal."
¿Pueden actualizar obligaciones fiscales?,"Sí, gestionamos la actualización de obligaciones fiscales."
¿Ofrecen suspensión y reanudación de actividades?,"Sí, tramitamos la suspensión y reanudación de actividades ante las autoridades fiscales."
¿Gestionan apertura de establecimientos?,"Sí, realizamos el trámite de apertura de establecimientos."
¿Realizan aviso de funcionamiento ante COFEPRIS?,"Sí, gestionamos el aviso de funcionamiento ante COFEPRIS."
¿Ofrecen certificado de sanitización?,"Sí, tramitamos el certificado de servicio de sanitización en espacios."
¿Realizan consulta de nombre ante IMPI?,"Sí, gestionamos la consulta de nombre para uso ante el IMPI."
¿Ofrecen servicios de agencia aduanal?,"Sí, gestionamos trámites ante agencia aduanal."
¿Ofrecen outsourcing de comercio exterior?,"Sí, brindamos servicios de outsourcing de comercio exterior."
¿Realizan liquidación de empresas?,"Sí, gestionamos la liquidación de empresas por notario, incluyendo cálculo de impuestos, avisos ante el SAT y liquidación de activos."
¿Ofrecen cálculo de impuestos por liquidación?,"Sí, realizamos el cálculo y determinación de impuestos por concepto de liquidación de empresas."
¿Gestionan avisos de liquidación ante el SAT?,"Sí, gestionamos los avisos de inicio de liquidación y cancelación por liquidación total del activo ante el SAT."
¿Ofrecen gestión notarial para liquidación de empresas?,"Sí, brindamos gestión notarial para el proceso de liquidación de empresas."
¿Gestionan la liquidación de activos?,"Sí, realizamos la gestión para la liquidación de activos empresariales."
¿Realizan liquidación de empresas por Economía?,"Sí, gestionamos la liquidación de empresas ante la Secretaría de Economía."
¿Ofrecen actualización fiscal, financiera, laboral y de seguridad social para liquidación?,"Sí, realizamos la actualización fiscal, financiera, laboral y de seguridad social necesaria para la liquidación de empresas."
¿Realizan liquidación de empresas por medios electrónicos?,"Sí, gestionamos la liquidación de empresas por medios electrónicos."
¿Ofrecen análisis financiero?,"Sí, realizamos análisis financiero para evaluar la situación económica de la empresa."
¿Entregan informe de gestión y control de cuentas por cobrar?,"Sí, proporcionamos informes detallados sobre la gestión y control de cuentas por cobrar."
¿Entregan informe de gestión y control de cuentas por pagar?,"Sí, elaboramos informes sobre la gestión y control de cuentas por pagar."
¿Ofrecen informe de cifras de inventario?,"Sí, entregamos informes precisos sobre las cifras de inventario."
¿Realizan informe del comportamiento de ventas?,"Sí, analizamos y reportamos el comportamiento de ventas de la empresa."
¿Ofrecen informe de gastos operativos?,"Sí, elaboramos informes sobre los gastos operativos de la empresa."
¿Realizan dictamen de Estados Financieros?,"Sí, emitimos dictámenes de Estados Financieros conforme a la normativa vigente."
¿Ofrecen auditorías?,"Sí, realizamos auditorías internas y externas para empresas."
¿En qué consiste la auditoría interna?,"Incluye revisión de planes y procedimientos, evaluación de controles operativos, contables, fiscales y financieros, revisión de casos especiales y control de inventarios."
¿Entregan informes y recomendaciones tras la auditoría?,"Sí, proporcionamos informes y recomendaciones basados en los resultados de la auditoría."
¿En qué consiste la auditoría externa?,"Revisamos los estados financieros y el funcionamiento general de la empresa conforme a normas oficiales, entregando dictámenes de buen funcionamiento o posibles correcciones."
¿Realizan control de inventarios en auditoría?,"Sí, el control de inventarios forma parte de la auditoría interna."
¿Revisan casos especiales en auditoría?,"Sí, revisamos casos especiales según las necesidades de la empresa."
¿Ofrecen administración de nómina?,"Sí, gestionamos la administración de nómina para garantizar el cumplimiento fiscal y de seguridad social, así como el cálculo de sueldos periódicos y extraordinarios."
¿Realizan alta patronal ante el IMSS?,"Sí, realizamos el trámite de alta patronal ante el IMSS."
¿Gestionan alta de trabajadores ante el IMSS?,"Sí, gestionamos el alta de trabajadores ante el IMSS."
¿Calculan cuotas obrero-patronales?,"Sí, calculamos y determinamos las cuotas obrero-patronales."
¿Determinan y presentan la prima de riesgo de trabajo?,"Sí, realizamos la determinación y presentación de la prima de riesgo de trabajo ante el IMSS."
¿Gestionan expedientes de trabajadores?,"Sí, elaboramos expedientes de trabajadores conforme a las normas de la STPS."
¿Preparan contratos y cartas de renuncia de trabajadores?,"Sí, preparamos contratos y cartas de renuncia de trabajadores."
¿Realizan avisos de riesgo de trabajo ante la STPS?,"Sí, gestionamos avisos de riesgo de trabajo ante la STPS."
¿Calculan prestaciones, finiquitos y liquidaciones?,"Sí, calculamos prestaciones, finiquitos y liquidaciones de los trabajadores."
¿Atienden requerimientos de autoridades laborales y fiscales?,"Sí, atendemos requerimientos de las autoridades en materia laboral y fiscal."
¿Calculan retención de sueldos y salarios?,"Sí, calculamos y determinamos la retención de sueldos y salarios conforme a la normativa fiscal."
¿Timbran nómina en plataformas tecnológicas?,"Sí, timbramos la nómina en plataformas tecnológicas bajo los estándares fiscales requeridos."
¿Gestionan trámites ante Infonavit?,"Sí, gestionamos asociación y disociación de registro patronal, aclaraciones, cálculo y medios de pago ante Infonavit."
¿Realizan devolución de pagos en exceso ante Infonavit?,"Sí, tramitamos la devolución de pagos en exceso, duplicados o indebidos ante Infonavit."
¿Elaboran dictámenes ante Infonavit?,"Sí, elaboramos dictámenes ante Infonavit."
¿Gestionan subcontratación laboral en materia fiscal y de seguridad social?,"Sí, autorizamos y gestionamos trámites de subcontratación laboral en materia fiscal y de seguridad social."
¿Ofrecen servicios de imagen corporativa?,"Sí, brindamos asesoría y desarrollo de imagen corporativa para posicionar tu negocio en el mercado y en internet."
¿Realizan estudios de mercado para imagen corporativa?,"Sí, realizamos estudios de mercado para identificar elementos únicos que destaquen tu empresa."
¿Diseñan y desarrollan páginas web?,"Sí, desarrollamos sitios y páginas web originales, incluyendo mantenimiento y actualización de sitios existentes."
¿Crean contenidos originales para web?,"Sí, creamos contenidos originales como textos multilingües, gráficos y fotografía profesional."
¿Ofrecen servicios de foto edición y manipulación?,"Sí, ofrecemos foto edición y manipulación para mejorar la imagen de productos, eventos y procesos."
¿Ofrecen diseño web original y a la medida?,"Sí, realizamos diseño web original y 100% a la medida, respetando la imagen corporativa del cliente o conceptualizando propuestas creativas."
¿Desarrollan front-end con tecnologías modernas?,"Sí, desarrollamos front-end con las últimas tecnologías para asegurar el mejor desempeño y cumplir los objetivos del cliente."
¿Ofrecen posicionamiento SEO internacional?,"Sí, ofrecemos servicios de posicionamiento (SEO) en motores de búsqueda internacionales."
¿Imparten capacitación y asesoría en tecnologías web?,"Sí, brindamos capacitación empresarial y asesorías personalizadas en tecnologías web, además de cursos profesionales en español e inglés."
¿Instalan y configuran componentes back-end?,"Sí, instalamos y configuramos componentes back-end como blogs, e-commerce, e-learning y comunidades. Servicio limitado."
¿Ofrecen diseño gráfico y desarrollo de marca?,"Sí, ofrecemos diseño gráfico, desarrollo y conceptualización de marca, imagen gráfica y materiales impresos. Servicio limitado."
¿Ofrecen asesoría legal?,"Sí, nuestros servicios legales están enfocados a la prevención de conflictos y protección del patrimonio e intereses de tu empresa."
¿Realizan recursos de revocación?,"Sí, gestionamos recursos de revocación en materia legal y fiscal."
¿Llevan juicios de nulidad?,"Sí, representamos a nuestros clientes en juicios de nulidad."
¿Gestionan recursos de revisión y adhesión?,"Sí, tramitamos recursos de revisión y adhesión a la revisión según corresponda."
¿Elaboran contratos de servicios?,"Sí, elaboramos contratos de servicios y servicios profesionales subordinados."
¿Preparan convenios entre socios o accionistas?,"Sí, diseñamos y elaboramos convenios entre socios o accionistas."
¿Redactan contratos de mutuo y cesión de derechos?,"Sí, elaboramos contratos de mutuo y cesión de derechos."
¿Realizan actas administrativas y notariales?,"Sí, preparamos actas administrativas y notariales según las necesidades del cliente."
¿Elaboran proyectos de acta para constitución, transformación, fusión, escisión y liquidación de empresas?,"Sí, elaboramos proyectos de acta y gestionamos el trámite ante notario para estos procesos empresariales."
¿Representan legalmente a extranjeros en la constitución de sociedades mexicanas?,"Sí, ofrecemos representación legal a extranjeros en la constitución de sociedades mexicanas."
¿Diseñan y elaboran proyectos de poderes?,"Sí, diseñamos y elaboramos proyectos para el otorgamiento, modificación o cancelación de poderes en México y en el extranjero."
¿Elaboran actas de asamblea y modificaciones de capital?,"Sí, elaboramos actas de asamblea ordinarias y extraordinarias, modificaciones de capital, emisión y cancelación de acciones, entre otros."
¿Preparan modelos de aviso de privacidad?,"Sí, elaboramos modelos de aviso de privacidad para cumplir con la protección de datos personales."
¿Gestionan registro de patentes, marcas y derechos de autor?,"Sí, gestionamos el registro de patentes, marcas, signos distintivos y derechos de autor, así como la defensa ante el IMPI."
¿Ofrecen defensa legal y representación en juicios laborales, civiles y mercantiles?,"Sí, brindamos defensa legal y representación en juicios laborales, civiles y mercantiles."
¿Ofrecen servicios para la creación de empresas?,"Sí, gestionamos todo el proceso de creación de empresas, desde la autorización de denominación hasta la obtención de registros y permisos."
¿En qué consiste la autorización de uso de denominación?,"Solicitamos al menos 3 nombres para la empresa y el proceso tarda aproximadamente 3 días."
¿Cuánto tiempo lleva la constitución de una empresa?,"El proceso de constitución puede tardar entre 1 y 15 días, dependiendo de la entrega de documentación."
¿Realizan el registro en el Registro Público de Comercio?,"Sí, gestionamos el registro en el Registro Público de Comercio, que puede tardar de 1 a 20 días."
¿Elaboran el acta constitutiva?,"Sí, elaboramos el acta constitutiva o documento constitutivo en un plazo de 1 a 20 días."
¿Gestionan poderes notariales?,"Sí, tramitamos poderes notariales para personas que no estén en el acta constitutiva."
¿Realizan inscripción al RFC para nuevas empresas?,"Sí, gestionamos la inscripción al RFC, proceso que tarda aproximadamente 5 días, sujeto a disponibilidad de cita ante el SAT."
¿Ayudan a obtener la e.firma?,"Sí, apoyamos en la obtención de la Firma Electrónica Avanzada (e.firma) mediante cita en el SAT."
¿Realizan alta en el IMSS para nuevas empresas?,"Sí, gestionamos el alta en el IMSS si la empresa tendrá trabajadores desde el inicio."
¿Apoyan en la gestión de registros y permisos?,"Sí, asesoramos y gestionamos permisos de construcción, uso de suelo, registros en COFEPRIS, y registros de marca, patentes y modelos industriales."
¿Ofrecen transformación digital para empresas?,"Sí, apoyamos la transformación digital de empresas optimizando procesos rutinarios mediante tecnología y conocimientos normativos."
¿Realizan rediseño de procesos tradicionales?,"Sí, rediseñamos procesos tradicionales para hacerlos más eficientes con tecnología."
¿Generan documentos con e-firma?,"Sí, generamos documentos mediante e-firma para garantizar certeza jurídica."
¿Crean modelos de riesgo?,"Sí, desarrollamos modelos de riesgo adaptados al entorno empresarial."
¿Desarrollan software a la medida?,"Sí, ofrecemos desarrollo de software personalizado según los requerimientos del cliente."
¿Gestionan la información empresarial?,"Sí, gestionamos la información de la empresa para mejorar la toma de decisiones."
¿Implementan procesos de TI?,"Sí, implementamos procesos de tecnologías de la información para optimizar la operación empresarial."
¿Diseñan la experiencia del cliente?,"Sí, diseñamos e implementamos la ingeniería de la experiencia del cliente."
¿Desarrollan aplicaciones web?,"Sí, analizamos, diseñamos y desarrollamos aplicaciones web con tecnologías como PHP, .NET, MySQL, MariaDB, SQL Server, HTML5, Bootstrap, CSS3, VueJS, Angular, ASP.NET Web Forms y MVC 5."
¿Desarrollan aplicaciones móviles?,"Sí, desarrollamos aplicaciones móviles con Ionic Framework para iOS y Android, y aplicaciones nativas con Android Studio."
¿Desarrollan páginas web?,"Sí, diseñamos y desarrollamos páginas web responsivas con HTML5, Bootstrap y CSS3."
¿Desarrollan aplicaciones de escritorio?,"Sí, desarrollamos aplicaciones de escritorio para Windows usando .NET, C#, LinQ y Entity Framework."
¿Ofrecen servicios de infraestructura y hosting?,"Sí, configuramos hosting compartido y servidores en plataformas como Microsoft Azure, Amazon, Go Daddy, IONOS y Digital Ocean."
¿Ofrecen asesoría para importar mercancías?,"Sí, brindamos asesoría sobre los requisitos y documentos necesarios para importar mercancías al país."
¿Cuáles son los requisitos para importar mercancías?,"Debes estar inscrito en el RFC, estar al corriente fiscalmente, contar con e.firma, contratar empresa aduanal, inscribirte en el padrón de importadores, realizar el encargo al agente aduanal, pagar contribuciones, cumplir regulaciones no arancelarias, llevar control de inventarios, obtener documentación de origen y entregar manifestación de valor en aduana."
¿Es necesario inscribirse en el padrón de importadores?,"Sí, es obligatorio inscribirse en el padrón de importadores para poder realizar operaciones de importación."
¿Debo contratar una empresa de servicios aduanales?,"Sí, se recomienda contratar una empresa con experiencia en servicios aduanales para facilitar el proceso de importación."
¿Se requiere control de inventarios para importar?,"Sí, debes llevar sistemas de control de inventarios con registro actualizado y a disposición de la autoridad aduanera."
¿Hay que pagar impuestos al importar?,"Sí, es necesario pagar los impuestos al comercio exterior y cuotas compensatorias, además de cumplir con las obligaciones de regulaciones y restricciones no arancelarias."
¿Se debe transmitir información electrónica a la aduana?,"Sí, debes transmitir electrónicamente la información relativa al valor de las mercancías a las autoridades aduaneras."
¿Ofrecen recuperación de retenciones por salarios del 2015 al 2018?,"Sí, gestionamos la recuperación de retenciones de ISR por salarios conforme al Art. 3b de la Ley de Coordinación Fiscal."
¿En qué consiste el servicio de recuperación de retenciones por salarios?,"Consiste en recuperar el 100% de la recaudación de ISR efectivamente enterado a la Federación por salarios de personal en entidades gubernamentales, municipios y organismos autónomos."
¿Se puede aplicar la recuperación de retenciones de manera retroactiva?,"Sí, la herramienta puede usarse de manera retroactiva en ejercicios fiscales anteriores, siempre que la legislación lo permita."
¿Para qué sirve la recuperación de retenciones por salarios?,"Permite solventar ausencias de pago de ISR de ejercicios anteriores y crear un fondo revolvente para cubrir pasivos históricos de este impuesto."
¿Cuánto tiempo tarda el retorno de la recuperación de retenciones?,"El retorno es entre 60 y 90 días."
¿Quiénes son considerados asalariados?,"Son personas contratadas por uno o varios empleadores que reciben un pago periódico y ciertos beneficios por su trabajo."
¿Qué ejemplos de asalariados existen?,"Obreros, secretarias, empleados de mostrador, asistentes, cajeros, funcionarios públicos, miembros de fuerzas armadas, comisionistas y comerciantes."
¿Qué beneficios tiene un asalariado?,"Aguinaldo, prima vacacional y reparto de utilidades, con límites en unidades de medida y actualización."
¿Puedo deducir gastos personales como asalariado?,"Sí, puedes deducir gastos médicos, funerarios, intereses hipotecarios, donativos, lentes y colegiaturas."
¿Debo presentar declaración anual si soy asalariado?,"Puedes presentarla aunque no estés obligado, para aplicar deducciones personales y obtener saldo a favor."
¿Me retienen impuestos si gano un salario mínimo?,"No, el patrón no retiene impuesto si tu salario mensual es igual o menor al salario mínimo."
¿Quién debe tributar en el Régimen de Arrendamiento?,"Quien es dueño de un inmueble y lo renta a otras personas por una cantidad periódica de dinero."
¿Quién es el arrendador?,"El arrendador es el propietario del bien que autoriza su uso a cambio de renta."
¿Quién es el arrendatario?,"El arrendatario es la persona que paga por disfrutar del bien inmueble."
¿Qué es la renta en el arrendamiento?,"Es la cantidad de dinero que el arrendatario paga periódicamente al arrendador por usar el bien."
¿Qué es el subarrendamiento?,"Es cuando el arrendatario, con autorización del arrendador, concede el uso temporal del bien a una tercera persona."
¿Puedo tributar en el Régimen de Incorporación Fiscal si tengo ingresos por arrendamiento y actividades empresariales?,"Sí, siempre que los ingresos por ambas actividades no superen los 2 millones de pesos anuales."
¿Qué obligaciones tiene quien renta inmuebles?,"Debe acumular ingresos, cumplir obligaciones fiscales y deducir gastos."
¿Quién puede inscribirse en el régimen de Actividad Empresarial?,"Personas que realizan actividades comerciales, industriales, de autotransporte, agrícolas, ganaderas, de pesca o silvícolas, sin importar el monto de ingresos."
¿Qué ejemplos hay de actividad empresarial?,"Talleres mecánicos, restaurantes, fondas, cafeterías, cocinas económicas, cantinas, bares, tiendas de abarrotes, escuelas, farmacias, ferreterías, refaccionarias y artesanos."
¿Cuáles son las obligaciones de un empresario en este régimen?,"Inscribirse en el RFC, mantener actualizada la información, expedir facturas electrónicas, llevar contabilidad, presentar declaraciones mensuales y anuales, formular estado de posición financiera y levantar inventario de existencias al 31 de diciembre."
¿Quién puede tributar en el Régimen de Incorporación Fiscal?,"Personas físicas con actividades empresariales que obtienen ingresos de hasta dos millones de pesos anuales y realizan venta de bienes, prestación de servicios sin título profesional o ventas por comisión menor al 30% de sus ingresos."
¿Qué ejemplos hay de actividades en el Régimen de Incorporación Fiscal?,"Tienda de abarrotes, carnicería, papelería, tianguista, locatario de mercado, vendedor sin local fijo, taxista, plomero, herrero, carpintero, peluquero, entre otros."
¿En qué consiste el Régimen de Incorporación Fiscal?,"Es un régimen que permite ser formal, emitir facturas e informar bimestralmente ventas y gastos."
¿Puedo obtener otros ingresos en el Régimen de Incorporación Fiscal?,"Sí, puedes obtener ingresos por sueldos, asimilados a salarios, arrendamiento de casa habitación o local comercial e intereses."
¿Qué servicios ofrece el IMSS a patrones y trabajadores?,"Acceso a atención médica, medicinas, gastos hospitalarios y de laboratorio para trabajadores y sus familias, protección en caso de accidente o enfermedad laboral, apoyo económico por invalidez o muerte, pensión para el retiro y guarderías para hijos de trabajadores."
¿Qué beneficios obtiene un trabajador independiente o patrón al afiliarse al IMSS?,"Atención médica, medicinas, gastos hospitalarios y de laboratorio para ti y tu familia, apoyo económico para familiares en caso de muerte y pensión para el retiro."
¿Hay descuentos en el pago de cuotas de seguridad social para trabajadores independientes?,"Sí, el pago bimestral de cuotas tiene un descuento gradual: 50% los dos primeros años, 40% en los años 3 y 4, 30% en los años 5 y 6, 20% en los años 7 y 8, y 10% en los años 9 y 10."
